Dataset,Evaluation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model
GM12878,Gene expression analysis,SDPM,1,Inf,0,10000,step,0.3938084,Model 1
GM12878,Gene expression analysis,SDPM,2,1,7,10000,step,0.3938084,Model 1
GM12878,Gene expression analysis,SDPM,1.002313162,300,1994,10000,step,0.394065953,Model 1
GM12878,Gene expression analysis,SDPM,1.000693387,1000,6644,10000,step,0.394726798,Model 1
GM12878,Gene expression analysis,SDPM,1.000231076,3000,19932,10000,step,0.397913587,Model 1
GM12878,Gene expression analysis,SDPM,1.000069317,10000,66439,10000,step,0.411204133,Model 1
GM12878,Gene expression analysis,SDPM,1.000006931,1E+05,664386,10000,step,0.426850774,Model 1
GM12878,Gene expression analysis,SDPM,1.000000693,1E+06,6643857,10000,step,0.41734897,Model 1
GM12878,Gene expression analysis,SDPM,1,Inf,0,1E+05,step,0.382678081,Model 1
GM12878,Gene expression analysis,SDPM,2,1,7,1E+05,step,0.382678081,Model 1
GM12878,Gene expression analysis,SDPM,1.002313162,300,1994,1E+05,step,0.383284679,Model 1
GM12878,Gene expression analysis,SDPM,1.000693387,1000,6644,1E+05,step,0.383284679,Model 1
GM12878,Gene expression analysis,SDPM,1.000231076,3000,19932,1E+05,step,0.383840203,Model 1
GM12878,Gene expression analysis,SDPM,1.000069317,10000,66439,1E+05,step,0.385566275,Model 1
GM12878,Gene expression analysis,SDPM,1.000006931,1E+05,664386,1E+05,step,0.429374321,Model 1
GM12878,Gene expression analysis,SDPM,1.000000693,1E+06,6643857,1E+05,step,0.436179274,Model 1
GM12878,Gene expression analysis,SDPM,1,Inf,0,1000,step,0.413113132,Model 1
GM12878,Gene expression analysis,SDPM,2,1,7,1000,step,0.413143417,Model 1
GM12878,Gene expression analysis,SDPM,1.002313162,300,1994,1000,step,0.411887143,Model 1
GM12878,Gene expression analysis,SDPM,1.000693387,1000,6644,1000,step,0.409173172,Model 1
GM12878,Gene expression analysis,SDPM,1.000231076,3000,19932,1000,step,0.409351346,Model 1
GM12878,Gene expression analysis,SDPM,1.000069317,10000,66439,1000,step,0.408527045,Model 1
GM12878,Gene expression analysis,SDPM,1.000006931,1E+05,664386,1000,step,0.417931529,Model 1
GM12878,Gene expression analysis,SDPM,1.000000693,1E+06,6643857,1000,step,0.402397286,Model 1
H1-hESC,Gene expression analysis,SDPM,1,Inf,0,10000,step,0.315401268,Model 1
H1-hESC,Gene expression analysis,SDPM,2,1,7,10000,step,0.315401268,Model 1
H1-hESC,Gene expression analysis,SDPM,1.002313162,300,1994,10000,step,0.319382864,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000693387,1000,6644,10000,step,0.318845441,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000231076,3000,19932,10000,step,0.322668453,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000069317,10000,66439,10000,step,0.331502801,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000006931,1E+05,664386,10000,step,0.364480969,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000000693,1E+06,6643857,10000,step,0.387146927,Model 1
H1-hESC,Gene expression analysis,SDPM,1,Inf,0,1E+05,step,0.315131351,Model 1
H1-hESC,Gene expression analysis,SDPM,2,1,7,1E+05,step,0.315131351,Model 1
H1-hESC,Gene expression analysis,SDPM,1.002313162,300,1994,1E+05,step,0.315601779,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000693387,1000,6644,1E+05,step,0.315601779,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000231076,3000,19932,1E+05,step,0.31593956,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000069317,10000,66439,1E+05,step,0.316081053,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000006931,1E+05,664386,1E+05,step,0.351329972,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000000693,1E+06,6643857,1E+05,step,0.391042237,Model 1
H1-hESC,Gene expression analysis,SDPM,1,Inf,0,1000,step,0.32073393,Model 1
H1-hESC,Gene expression analysis,SDPM,2,1,7,1000,step,0.320802253,Model 1
H1-hESC,Gene expression analysis,SDPM,1.002313162,300,1994,1000,step,0.354766784,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000693387,1000,6644,1000,step,0.371545784,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000231076,3000,19932,1000,step,0.371338109,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000069317,10000,66439,1000,step,0.377307814,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000006931,1E+05,664386,1000,step,0.381203073,Model 1
H1-hESC,Gene expression analysis,SDPM,1.000000693,1E+06,6643857,1000,step,0.379449454,Model 1
HUVEC,Gene expression analysis,SDPM,1,Inf,0,10000,step,0.318407829,Model 1
HUVEC,Gene expression analysis,SDPM,2,1,7,10000,step,0.318407829,Model 1
HUVEC,Gene expression analysis,SDPM,1.002313162,300,1994,10000,step,0.318761737,Model 1
HUVEC,Gene expression analysis,SDPM,1.000693387,1000,6644,10000,step,0.318285745,Model 1
HUVEC,Gene expression analysis,SDPM,1.000231076,3000,19932,10000,step,0.324691402,Model 1
HUVEC,Gene expression analysis,SDPM,1.000069317,10000,66439,10000,step,0.331386763,Model 1
HUVEC,Gene expression analysis,SDPM,1.000006931,1E+05,664386,10000,step,0.337448778,Model 1
HUVEC,Gene expression analysis,SDPM,1.000000693,1E+06,6643857,10000,step,0.332734039,Model 1
HUVEC,Gene expression analysis,SDPM,1,Inf,0,1000,step,0.342652407,Model 1
